Provider,Service,Sector,Quantity,Price,Date
Google,Storage,,,,2000-09-20
Facebook,Containers,NGO,,,2005-09-26
Microsoft,Storage,,,,2012-07-15
IBM,Authentication,NGO,,79,2008-06-14
Facebook,Authentication,,,56.75,2010-07-11
Microsoft,Containers,Public,35,,2009-07-25
Oracle,Containers,NGO,12,,2001-04-03
Google,Data Science,Private,20,,2008-10-16
Cisco,Authentication,,11,,2001-05-12
Google,Storage,Private,,,2005-01-11
IBM,Storage,Private,28,,2010-02-25
Google,Processor,,,78.25,2015-03-20
Facebook,Processor,NGO,31,50.25,2008-04-24
Cisco,Authentication,NGO,2,58,2003-10-07
Facebook,Containers,Private,,69.75,2008-08-05
Oracle,Storage,Private,,55.75,2005-09-07
Amazon,Containers,Public,,79.25,2005-06-09
Facebook,Database,,1,73.5,2008-08-10
Facebook,Processor,NGO,29,54.5,2019-10-10
Facebook,Authentication,,,57,2018-06-25
Google,Containers,Private,,67.5,2019-03-19
Facebook,Storage,Private,,56.75,2015-09-24
Oracle,Processor,,,61.5,2017-06-12
Oracle,Authentication,Public,19,58.75,2001-09-15
Oracle,Storage,Private,3,,2008-06-17
Facebook,Data Science,,,,2001-02-15
Google,Storage,Private,,72.5,2011-04-21
Amazon,Storage,NGO,,,2005-03-22
IBM,Containers,Private,,,2004-07-24
IBM,Containers,NGO,,,2003-04-22
Oracle,Data Science,,27,71.25,2012-04-14
IBM,Storage,Public,,,2019-10-05
Microsoft,Data Science,Public,46,60.5,2008-07-08
Amazon,Authentication,Private,,,2013-06-14
Cisco,Containers,,,51.5,2018-06-07
Cisco,Compute,Private,,60.25,2012-04-01
Facebook,Database,Private,,,2019-07-21
Microsoft,Processor,,33,60.75,2009-05-21
Cisco,Processor,Public,,74.75,2005-07-02
Google,Data Science,Public,,,2001-06-11
Oracle,Processor,Public,18,70,2012-04-22
Microsoft,Data Science,Private,,67.75,2001-05-04
Oracle,Processor,Private,,50.5,2012-08-15
IBM,Database,,24,71.5,2010-06-08
Cisco,Data Science,Private,5,73.75,2001-03-14
Amazon,Storage,NGO,37,,2019-05-04
Oracle,Storage,,37,53.25,2008-05-16
IBM,Authentication,NGO,,74.5,2019-06-25
Microsoft,Authentication,Public,3,,2009-06-03
Oracle,Authentication,Private,39,57.25,2016-06-14
Amazon,Processor,,45,,2014-06-21
Google,Authentication,NGO,,51.25,2008-04-13
Amazon,Data Science,NGO,,,2007-06-24
IBM,Containers,NGO,,54.25,2007-09-16
Facebook,Storage,NGO,,,2010-02-26
Oracle,Containers,Public,,,2008-06-09
Facebook,Authentication,NGO,1,75.5,2017-05-15
Cisco,Data Science,,1,74.5,2006-07-24
IBM,Compute,Private,,,2002-05-16
Oracle,Compute,Private,24,,2002-06-20
Google,Compute,Public,41,72.25,2019-08-11
Amazon,Storage,Private,,62.75,2011-05-07
Microsoft,Compute,Public,23,67.75,2008-07-11
Google,Data Science,Public,,,2003-03-13
Google,Database,Public,50,77.75,2017-10-24
Google,Storage,NGO,,56.5,2010-05-03
IBM,Storage,Public,13,68.75,2000-06-16
Microsoft,Authentication,Private,,62.75,2015-02-09
Facebook,Processor,NGO,24,,2007-04-26
Cisco,Database,,,,2002-04-23
Cisco,Database,Private,,76.5,2009-07-03
IBM,Authentication,Private,,57.25,2010-05-13
IBM,Containers,NGO,,68,2008-05-19
Google,Processor,,20,,2002-07-22
IBM,Storage,Public,,72.5,2013-07-25
Google,Storage,Public,50,,2012-04-09
Cisco,Storage,Public,22,,2006-07-13
Cisco,Authentication,Private,,,2019-08-18
Amazon,Containers,Private,,55.75,2005-04-11
IBM,Storage,,,79.75,2006-08-19
Google,Processor,NGO,,,2010-05-05
Oracle,Compute,NGO,,59.25,2012-11-20
Google,Data Science,,37,50.25,2013-04-16
Oracle,Containers,Private,47,70,2006-05-16
Amazon,Processor,Public,,79.5,2016-05-03
Cisco,Storage,NGO,,,2005-06-11
Cisco,Processor,,,55.5,2016-06-21
Facebook,Processor,Private,,,2010-07-02
Facebook,Storage,,,52.5,2017-05-06
IBM,Processor,NGO,,50.25,2005-06-22
IBM,Database,Private,5,63.5,2018-04-19
IBM,Containers,Private,11,74,2010-05-26
Google,Containers,Private,,69,2006-04-25
Cisco,Database,Public,,66,2011-05-24
Microsoft,Storage,NGO,10,76.5,2002-08-24
Google,Processor,,2,50,2019-06-02
Google,Processor,Private,,,2010-03-12
Google,Compute,,10,51,2008-04-25
Microsoft,Data Science,Public,,,2012-04-13
Amazon,Processor,Public,,71,2010-06-13
Google,Containers,,,,2013-02-05
Microsoft,Processor,Private,49,60,2000-05-04
Cisco,Authentication,,,,2004-04-10
Facebook,Storage,,,66.25,2002-05-19
Cisco,Database,Private,,51.5,2004-02-16
Google,Compute,,,,2006-05-04
Facebook,Authentication,Public,21,,2011-07-18
Cisco,Containers,Private,,71.75,2001-05-07
Microsoft,Storage,Private,30,62.25,2011-03-14
Amazon,Containers,NGO,11,,2007-06-26
Oracle,Authentication,Private,,,2000-04-02
IBM,Database,Public,,,2002-04-19
Facebook,Processor,NGO,21,66,2002-04-10
Facebook,Compute,,42,53,2012-04-23
Google,Processor,Private,15,67,2004-04-10
Google,Data Science,Public,,54,2005-04-05
Oracle,Data Science,NGO,,77.25,2001-09-23
Oracle,Authentication,NGO,,,2002-08-06
Amazon,Compute,Public,14,56.25,2001-07-12
Google,Data Science,Public,14,62.5,2010-08-02
Google,Authentication,NGO,32,,2004-05-04
IBM,Data Science,Public,,59.25,2004-08-23
Amazon,Database,NGO,,,2016-08-26
IBM,Processor,NGO,,54.25,2016-07-19
Cisco,Data Science,Public,21,63,2006-07-02
IBM,Compute,,11,58,2016-05-12
Facebook,Authentication,Public,36,65.25,2016-09-24
Amazon,Compute,NGO,,55,2012-08-17
Oracle,Data Science,,,,2009-04-16
Cisco,Compute,Private,15,,2014-09-08
Cisco,Compute,Private,39,,2005-09-01
Microsoft,Containers,Public,,,2012-04-24
Oracle,Processor,Private,,80,2006-05-06
IBM,Containers,,31,,2016-06-13
Google,Storage,Public,,72,2002-03-21
Google,Containers,,,50.25,2004-08-08
Amazon,Compute,,,71.5,2006-09-02
Amazon,Containers,Private,,61.5,2004-06-03
Cisco,Containers,Public,1,68.25,2012-10-17
Google,Data Science,NGO,22,56,2008-11-18
Facebook,Containers,Public,41,52.25,2006-05-25
Google,Containers,Private,,61.25,2008-08-14
Google,Compute,,47,62.5,2009-07-21
IBM,Storage,Public,26,72.5,2005-06-25
Oracle,Data Science,Public,2,63.25,2006-10-05
Facebook,Containers,Private,1,,2011-04-05
Facebook,Authentication,,,74,2000-08-18
Google,Processor,NGO,8,53,2003-07-21
Facebook,Storage,Private,27,59.25,2007-07-21
Facebook,Database,,,59.5,2010-09-12
Microsoft,Processor,NGO,4,69.5,2006-07-01
Cisco,Database,,,55,2015-09-13
Facebook,Data Science,Private,29,63.25,2002-05-26
Amazon,Processor,NGO,6,78.5,2007-01-18
IBM,Compute,Private,44,,2007-06-14
Amazon,Data Science,,,,2011-06-14
Cisco,Containers,NGO,12,68.25,2004-03-04
Facebook,Storage,Private,,61.75,2018-03-01
Cisco,Authentication,,,66.25,2017-05-21
IBM,Storage,NGO,2,68,2017-04-15
Google,Database,Public,,,2001-06-14
Google,Database,,10,51.5,2014-07-26
Microsoft,Database,,38,57.5,2002-07-01
Facebook,Storage,Public,,,2007-08-26
Amazon,Processor,Public,36,,2018-07-24
Google,Database,Private,27,,2015-04-11
IBM,Compute,NGO,39,65,2005-07-06
Amazon,Database,,,,2009-05-04
Microsoft,Compute,Public,5,55,2008-06-07
Google,Processor,Private,,75.5,2014-06-13
Google,Containers,NGO,,54.5,2017-06-22
IBM,Processor,Private,0,,2010-09-16
IBM,Containers,,16,,2012-05-12
Google,Database,,,61.5,2007-11-25
Microsoft,Storage,Public,41,,2004-08-16
Google,Storage,Private,,,2017-08-23
Microsoft,Authentication,NGO,3,,2005-06-12
Amazon,Authentication,Public,,77.5,2000-06-01
Cisco,Storage,Public,,60.25,2017-03-15
Amazon,Data Science,NGO,,68.25,2003-06-19
Microsoft,Data Science,NGO,29,,2016-08-11
Facebook,Containers,NGO,,,2006-10-20
Oracle,Database,Private,,57.5,2013-09-13
Cisco,Storage,Public,34,,2008-08-07
Amazon,Authentication,Private,30,,2003-01-25
Cisco,Containers,Public,23,,2015-05-20
IBM,Database,Private,,,2011-04-12
Google,Processor,,35,,2013-09-21
Google,Compute,Private,,,2017-04-04
Oracle,Data Science,NGO,27,,2017-10-15
Google,Authentication,Private,14,,2012-10-18
Cisco,Containers,Public,,71.5,2008-07-18
IBM,Processor,Private,31,76,2005-06-06
Cisco,Containers,NGO,,65.5,2013-08-26
Oracle,Processor,,48,,2009-08-20
Microsoft,Database,NGO,20,,2004-08-03
Amazon,Data Science,,13,54,2018-06-18
Microsoft,Storage,NGO,29,,2001-09-17
IBM,Compute,NGO,10,,2016-06-15
Oracle,Compute,Public,,63,2000-06-03
Amazon,Compute,Public,10,75.25,2011-08-08
IBM,Authentication,,,52,2016-06-22
Amazon,Database,,30,64.25,2011-06-14
Facebook,Containers,Private,19,,2011-08-15
Oracle,Authentication,,32,69.5,2008-06-04
Cisco,Authentication,,29,72.75,2016-07-11
Amazon,Storage,,37,62.25,2008-06-20
Oracle,Compute,Private,19,56.25,2001-04-10
Amazon,Processor,Public,,55.5,2006-07-07
IBM,Containers,NGO,19,79.5,2019-07-14
Cisco,Database,Public,,,2012-12-08
Oracle,Compute,Private,,,2015-07-05
IBM,Authentication,Public,49,,2017-09-14
Amazon,Data Science,Public,,,2013-06-07
Facebook,Storage,Private,34,,2007-08-26
Facebook,Data Science,Public,,,2016-03-26
Amazon,Storage,,4,51,2016-11-26
Amazon,Containers,NGO,43,,2011-09-26
Oracle,Database,NGO,25,51.75,2003-07-24
Oracle,Containers,Private,,61.75,2000-06-08
Amazon,Containers,Private,,,2007-04-01
Microsoft,Storage,Private,,52.25,2016-07-14
Oracle,Database,Private,19,79.25,2018-08-12
Microsoft,Data Science,Public,39,69.75,2013-05-07
Amazon,Storage,NGO,,,2004-07-19
Cisco,Data Science,NGO,30,79.5,2009-03-14
Amazon,Containers,,,,2018-01-25
Oracle,Data Science,Public,,72.5,2004-08-04
Facebook,Compute,NGO,,51,2009-06-17
Google,Data Science,,,68.5,2013-06-05
Google,Containers,NGO,,56.25,2006-04-07
Microsoft,Processor,Private,,,2018-10-17
Facebook,Containers,,,56.25,2009-03-06
Google,Containers,Public,,71.75,2010-08-23
Facebook,Compute,,,55.25,2016-09-24
IBM,Containers,,31,50.5,2013-05-12
Microsoft,Database,Private,35,79.75,2007-04-07
Facebook,Authentication,Public,,58.75,2015-08-10
Oracle,Processor,,28,62,2000-05-04
IBM,Authentication,,2,71.25,2017-04-05
Cisco,Authentication,NGO,,,2010-08-13
Amazon,Compute,Private,19,71.75,2005-06-04
Facebook,Compute,Public,31,68,2004-07-07
Amazon,Authentication,Public,16,51.25,2004-05-25
IBM,Data Science,Private,47,,2004-07-16
Microsoft,Authentication,Private,43,71,2009-05-06
Google,Compute,,7,,2017-04-16
Facebook,Containers,Public,,,2009-09-25
Cisco,Authentication,NGO,,,2006-08-09
Microsoft,Processor,NGO,32,77.5,2017-05-20
Amazon,Processor,Public,,61.5,2014-07-05
IBM,Database,NGO,,63.25,2013-02-03
IBM,Containers,NGO,,58.75,2009-04-06
Google,Authentication,Public,,,2009-03-03
Cisco,Data Science,Private,,,2003-05-20
Google,Compute,Public,21,,2007-05-23
Cisco,Authentication,NGO,18,,2004-07-03
Facebook,Storage,,48,54,2018-05-07
Cisco,Database,NGO,,,2013-06-12
Google,Compute,NGO,14,,2005-05-19
Microsoft,Storage,NGO,,,2013-04-15
Cisco,Containers,Public,,50,2019-07-15
Oracle,Authentication,NGO,2,,2004-07-19
Google,Processor,,,65.25,2003-06-24
Cisco,Data Science,,28,,2019-04-19
IBM,Data Science,Public,12,69,2000-07-22
Cisco,Storage,NGO,9,,2002-04-11
IBM,Containers,,14,59.25,2001-06-07
Google,Processor,Public,,74.75,2011-07-09
IBM,Storage,Private,,62.25,2014-06-21
IBM,Processor,NGO,,76.5,2006-03-03
Google,Containers,NGO,16,,2015-05-10
Google,Processor,Public,,,2016-04-21
Microsoft,Processor,Private,,55,2010-05-21
Facebook,Authentication,Public,,,2011-01-01
Microsoft,Data Science,Private,,58.75,2013-06-15
Facebook,Compute,,,57.25,2011-08-09
IBM,Database,Private,30,60.75,2006-05-08
Google,Compute,NGO,13,63.25,2019-05-10
IBM,Processor,Private,,,2019-05-02
Amazon,Data Science,NGO,26,54.75,2004-07-22
Cisco,Database,Public,14,71,2019-07-02
Cisco,Data Science,Public,,77,2006-05-23
Facebook,Data Science,Public,28,75.75,2001-05-11
Cisco,Storage,NGO,,,2009-05-09
Microsoft,Storage,,37,59.5,2005-07-15
Google,Storage,Private,,51.75,2015-06-26
Facebook,Storage,Private,,58.25,2004-10-18
Microsoft,Database,,,67.25,2004-07-08
Amazon,Authentication,,39,79.25,2014-05-03
Amazon,Data Science,NGO,25,,2015-04-19
Facebook,Processor,Private,,,2017-07-13
IBM,Containers,Public,23,75.75,2007-08-01
Facebook,Compute,,32,,2005-03-02
Facebook,Containers,,33,,2016-06-07
Oracle,Storage,Public,,,2001-09-12
Oracle,Processor,,,65.5,2019-05-15
Amazon,Database,NGO,,51,2017-09-22
Cisco,Data Science,Private,3,,2018-04-15
Oracle,Data Science,,,58.75,2017-07-07
Cisco,Authentication,Public,,57,2017-06-20
IBM,Storage,Public,,,2003-07-14
Oracle,Compute,NGO,29,51.25,2018-07-08
Amazon,Data Science,NGO,,66,2017-07-01
Cisco,Processor,,11,,2018-09-11
Cisco,Authentication,,,,2007-07-25
IBM,Database,NGO,,78,2008-06-19
IBM,Data Science,Public,43,,2013-07-03
Microsoft,Storage,NGO,,,2009-06-09
Microsoft,Containers,Public,24,,2019-04-14
Amazon,Authentication,Private,0,,2019-04-19
Facebook,Data Science,,,79.25,2009-07-25
Amazon,Compute,,,69,2016-05-05
Google,Authentication,Private,13,52.5,2010-01-18
Google,Compute,Private,,78.75,2013-05-26
IBM,Storage,Public,,,2011-04-12
Google,Containers,NGO,,,2012-07-06
Microsoft,Data Science,Private,34,63.5,2003-06-01
Cisco,Data Science,NGO,,67,2012-08-02
Google,Data Science,NGO,,57.25,2005-06-11
Facebook,Compute,Private,,69.5,2009-06-12
Amazon,Authentication,,11,,2012-08-26
Google,Processor,,,,2019-12-06
Google,Processor,Public,,,2019-05-19
Oracle,Data Science,Private,,,2007-07-04
Google,Containers,Private,6,56.25,2006-04-16
Amazon,Processor,,,70.75,2008-05-12
Microsoft,Compute,Private,47,70,2006-04-19
Google,Database,Private,35,73.5,2000-05-19
Amazon,Storage,Public,12,,2018-04-06
Cisco,Database,Public,,78.25,2000-06-20
Microsoft,Processor,NGO,49,59,2005-04-07
Oracle,Authentication,,3,,2009-07-24
Oracle,Database,NGO,5,68,2008-07-13
Amazon,Authentication,Private,24,55.25,2011-06-07
IBM,Authentication,,,72,2014-08-03
Facebook,Containers,Private,,62.5,2012-07-25
Google,Compute,Private,9,,2002-06-20
Microsoft,Authentication,NGO,,67.75,2019-09-18
Google,Containers,Private,31,77.25,2002-06-05
IBM,Authentication,Public,41,,2009-08-02
Cisco,Processor,NGO,,,2001-06-06
Oracle,Database,NGO,27,78.75,2001-06-02
IBM,Processor,Public,,70.75,2014-07-18
Google,Authentication,,,65,2010-06-24
Facebook,Containers,Private,,67.5,2007-08-02
Facebook,Processor,,,65,2010-05-24
Facebook,Compute,,,,2008-08-11
Google,Data Science,Private,28,63.75,2009-02-12
Amazon,Processor,Public,36,59.75,2004-05-09
Cisco,Containers,NGO,,70,2018-08-11
Amazon,Processor,Public,12,76,2007-06-05
IBM,Processor,,,69.5,2015-04-24
Cisco,Storage,NGO,,74.25,2014-09-02
Microsoft,Storage,Private,,,2004-04-08
Microsoft,Compute,Private,42,64.5,2008-05-25
Google,Storage,Public,,57.75,2017-06-22
Microsoft,Storage,NGO,,71,2001-07-08
Google,Database,Private,40,73,2015-05-13
Oracle,Authentication,Public,44,,2011-07-07
Cisco,Storage,Public,,,2016-08-23
Amazon,Authentication,Public,,69.25,2015-06-03
Amazon,Processor,Private,45,,2011-05-11
Facebook,Data Science,NGO,,,2010-07-26
IBM,Processor,Private,5,77.5,2014-06-09
IBM,Processor,,40,,2015-08-11
Amazon,Processor,NGO,30,78.25,2018-06-19
Microsoft,Storage,NGO,6,72.5,2002-04-23
Oracle,Authentication,Private,50,69,2019-03-21
Microsoft,Processor,Private,37,,2009-03-24
Amazon,Containers,,,,2015-06-19
Facebook,Processor,Private,28,75.5,2006-07-09
Oracle,Database,Public,43,,2000-05-10
Cisco,Data Science,Public,,57.5,2004-05-06
Facebook,Processor,NGO,,78.25,2014-04-15
Cisco,Storage,,,75.5,2016-04-12
Google,Authentication,Public,48,,2012-03-18
Amazon,Data Science,NGO,,64.5,2000-06-18
IBM,Storage,,7,,2007-06-19
Amazon,Data Science,,9,,2009-09-10
Cisco,Database,NGO,28,,2018-03-07
IBM,Processor,Public,13,56.75,2000-06-06
Google,Compute,,,,2007-05-23
Microsoft,Authentication,Private,15,56.75,2012-06-24
Amazon,Containers,Public,11,77.5,2013-02-12
Oracle,Authentication,Public,13,,2006-08-10
Microsoft,Compute,Private,10,,2015-09-07
Oracle,Processor,Private,0,75.5,2018-07-26
IBM,Processor,,15,,2014-05-14
Microsoft,Containers,Private,,,2015-08-18
Google,Compute,Public,32,,2012-06-12
Amazon,Processor,Private,,73.5,2015-07-18
Amazon,Data Science,Private,45,,2019-06-25
Cisco,Database,Public,28,73.5,2004-01-17
IBM,Database,NGO,38,,2004-06-21
Amazon,Containers,NGO,30,56.75,2000-05-21
Microsoft,Authentication,Private,19,54.25,2010-07-16
Amazon,Processor,Private,3,55.75,2019-10-06
Facebook,Processor,,,61.75,2016-07-11
IBM,Storage,,,,2002-06-06
Facebook,Containers,NGO,,70.75,2007-05-04
Cisco,Containers,Private,10,69,2008-05-22
Cisco,Data Science,NGO,,79,2007-05-22
Google,Database,Public,,,2005-07-18
Microsoft,Containers,Private,44,,2014-06-11
Cisco,Authentication,NGO,,65.5,2017-08-25
Amazon,Database,NGO,13,57.5,2003-02-03
Microsoft,Data Science,NGO,13,,2005-08-19
Cisco,Processor,Public,23,54,2000-06-15
Amazon,Compute,,,57.5,2003-08-07
Facebook,Compute,,9,75.75,2009-05-14
Facebook,Processor,NGO,2,,2005-03-15
Facebook,Authentication,Private,,67.75,2009-06-20
Oracle,Containers,NGO,,,2017-07-20
Google,Storage,,,70.25,2018-03-25
IBM,Processor,Private,11,59,2010-03-10
Amazon,Data Science,NGO,,56.25,2015-05-01
Facebook,Database,Private,,50.5,2018-05-16
Google,Database,Private,,,2019-05-16
IBM,Data Science,NGO,30,,2010-07-21
Oracle,Data Science,NGO,,63.75,2010-05-01
Amazon,Compute,Private,,,2000-05-13
Google,Processor,,13,,2017-03-08
Microsoft,Compute,NGO,,51.75,2016-11-10
IBM,Database,Private,3,,2004-06-08
IBM,Database,,24,64.25,2009-05-01
Google,Authentication,Private,,61.75,2007-07-16
Amazon,Containers,Public,,71.75,2018-09-19
Cisco,Data Science,NGO,,76.25,2013-04-18
Facebook,Compute,Public,34,,2000-05-14
Amazon,Storage,Public,,58,2010-07-23
Microsoft,Data Science,Private,4,,2006-03-24
Facebook,Storage,Private,,,2008-05-25
Oracle,Data Science,,,58,2001-07-19
Amazon,Containers,NGO,24,78.5,2004-05-19
Cisco,Containers,,14,,2011-04-01
Amazon,Processor,Public,,,2006-04-10
Google,Containers,,46,73.5,2010-05-04
Facebook,Processor,Public,,,2002-11-09
IBM,Authentication,Public,35,73.75,2010-07-03
Cisco,Data Science,NGO,,61,2010-08-02
Facebook,Compute,NGO,30,77.75,2000-05-26
Oracle,Processor,Private,,59.25,2012-05-24
IBM,Database,,,,2007-05-01
